k,v
0,おもちゃ・ホビー・グッズ>おもちゃ>キャラクターグッズ
1,おもちゃ・ホビー・グッズ>トレーディングカード>ポケモンカードゲーム
2,おもちゃ・ホビー・グッズ>トレーディングカード>デュエルマスターズ
3,おもちゃ・ホビー・グッズ>フィギュア>コミック/アニメ
4,インテリア・住まい・小物>キッチン/食器>食器
5,ハンドメイド>素材/材料>各種パーツ
6,本・音楽・ゲーム>本>参考書
7,レディース>トップス>ニット/セーター
8,おもちゃ・ホビー・グッズ>トレーディングカード>遊戯王
9,本・音楽・ゲーム>本>文学/小説
10,本・音楽・ゲーム>本>人文/社会
11,本・音楽・ゲーム>本>その他
12,本・音楽・ゲーム>CD>邦楽
13,本・音楽・ゲーム>CD>K-POP/アジア
14,本・音楽・ゲーム>テレビゲーム>家庭用ゲームソフト
15,おもちゃ・ホビー・グッズ>タレントグッズ>アイドル
16,おもちゃ・ホビー・グッズ>タレントグッズ>ミュージシャン
17,おもちゃ・ホビー・グッズ>コミック/アニメグッズ>バッジ
18,おもちゃ・ホビー・グッズ>コミック/アニメグッズ>カード
19,レディース>バッグ>トートバッグ
20,おもちゃ・ホビー・グッズ>コミック/アニメグッズ>その他
